Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
VEGFC,1.51E-01,5.93E-02,-1.90726,-4.8747,-0.560615,NM_005429.2,
IL1RN,1.51E-01,5.95E-02,-1.906027,-4.877,-0.505572,NM_000577.3,
SAA1,1.52E-01,6.03E-02,-1.900174,-4.8877,-0.595192,NM_199161.1,
ALCAM,1.55E-01,6.15E-02,1.890736,-4.9048,0.49553,NM_001627.3,NA
MAGEC2,1.58E-01,6.30E-02,1.879519,-4.9251,0.518078,NM_016249.3,
FN1,1.63E-01,6.50E-02,-1.865411,-4.9504,-0.713185,NM_212482.1,
ITK,1.64E-01,6.56E-02,1.861147,-4.9581,0.576539,NM_005546.3,
ITGB2,1.66E-01,6.68E-02,1.853103,-4.9724,0.393514,NM_000211.2,
IL3RA,1.70E-01,6.87E-02,1.839936,-4.9957,0.38531,NM_002183.2,
IL1R1,1.72E-01,6.96E-02,-1.833749,-5.0067,-0.274033,NM_000877.2,
CD244,1.73E-01,7.06E-02,1.827291,-5.018,0.436005,NM_016382.2,
POU2AF1,1.73E-01,7.07E-02,1.826445,-5.0195,0.666934,NM_006235.2,
PECAM1,1.73E-01,7.08E-02,1.826047,-5.0202,0.294584,NM_000442.3,
CD79B,1.74E-01,7.14E-02,1.822319,-5.0267,0.557955,NM_021602.2,
ITGAL,1.74E-01,7.16E-02,1.820979,-5.0291,0.472623,NM_002209.2,
CXCL10,1.78E-01,7.37E-02,1.807185,-5.0531,0.850675,NM_001565.1,
ALAS1,1.78E-01,7.37E-02,1.807154,-5.0532,0.166367,NM_000688.4,
C1QA,1.78E-01,7.39E-02,1.806209,-5.0548,0.450682,NM_015991.2,NA
PYCARD,1.79E-01,7.46E-02,-1.801744,-5.0626,-0.299662,NM_013258.3,
IRF4,1.79E-01,7.46E-02,1.801199,-5.0635,0.570858,NM_002460.1,
NCR1,1.79E-01,7.47E-02,1.800856,-5.0641,0.480819,NM_004829.5,
MEF2C,1.81E-01,7.61E-02,1.792374,-5.0788,0.468896,NM_002397.3,
FCGR2B,1.82E-01,7.67E-02,1.788479,-5.0855,0.390263,NM_001002273.1,
SYK,1.83E-01,7.72E-02,1.785317,-5.0909,0.292719,NM_003177.3,
CD5,1.88E-01,7.98E-02,1.769914,-5.1173,0.419172,NM_014207.2,
CT45A1,1.89E-01,8.01E-02,1.767815,-5.1209,0.895294,NM_001017417.1,
CSF2,1.91E-01,8.14E-02,-1.760374,-5.1335,-0.727616,NM_000758.2,
ARG2,1.93E-01,8.23E-02,1.754947,-5.1427,0.486406,NM_001172.3,NA
SELL,1.96E-01,8.40E-02,1.745374,-5.1589,0.545305,NR_029467.1,
CHUK,1.99E-01,8.54E-02,-1.737113,-5.1727,-0.135322,NM_001278.3,
PTGS2,1.99E-01,8.60E-02,-1.733637,-5.1785,-0.536262,NM_000963.1,
HLA-A,1.99E-01,8.63E-02,-1.732144,-5.181,-0.286087,NM_002116.5,
TNFSF8,1.99E-01,8.66E-02,1.73036,-5.184,0.493065,NM_001244.3,
DPP4,1.99E-01,8.68E-02,-1.729483,-5.1855,-0.456481,NM_001935.3,
DUSP6,2.01E-01,8.78E-02,-1.723633,-5.1952,-0.284849,NM_001946.2,
HLA-C,2.02E-01,8.83E-02,-1.720987,-5.1996,-0.327419,NM_002117.4,
ETS1,2.03E-01,8.89E-02,1.717941,-5.2047,0.316935,NM_005238.3,
HLA-DRB4,2.03E-01,8.91E-02,1.716582,-5.2069,1.167632,NM_021983.4,
IRGM,2.08E-01,9.16E-02,1.703033,-5.2293,0.375286,NM_001145805.1,
CASP8,2.08E-01,9.21E-02,1.700411,-5.2336,0.219748,NM_001228.4,NA
TP53,2.09E-01,9.27E-02,1.697145,-5.2389,0.276701,NM_000546.2,
PDCD1,2.10E-01,9.35E-02,1.693214,-5.2454,0.515255,NM_005018.1,
CR1,2.10E-01,9.39E-02,1.691222,-5.2486,0.56865,NM_000651.4,
NCF4,2.10E-01,9.45E-02,1.687715,-5.2543,0.38632,NM_000631.4,
CSF1,2.10E-01,9.46E-02,1.687463,-5.2547,0.464903,NM_000757.4,
CYBB,2.10E-01,9.47E-02,1.686827,-5.2558,0.435566,NM_000397.3,
LRP1,2.11E-01,9.52E-02,-1.684457,-5.2596,-0.213894,NM_002332.2,
NRP1,2.13E-01,9.65E-02,-1.677617,-5.2707,-0.28125,NM_003873.5,
PIK3CG,2.17E-01,9.85E-02,1.667396,-5.2873,0.472963,NM_002649.2,
CLEC4A,2.17E-01,9.90E-02,1.665204,-5.2908,0.291277,NM_194448.2,
FCGR3A,2.18E-01,9.97E-02,1.661302,-5.2971,0.459143,NM_000569.6,
COL3A1,2.18E-01,1.00E-01,-1.659461,-5.3,-0.498305,NM_000090.3,
SELE,2.18E-01,1.00E-01,1.658929,-5.3009,0.549579,NM_000450.2,
CMA1,2.20E-01,1.01E-01,1.653158,-5.3101,0.424123,NM_001836.2,
CXCL6,2.20E-01,1.02E-01,-1.652152,-5.3117,-0.571717,NM_002993.3,
AICDA,2.23E-01,1.03E-01,1.644742,-5.3235,0.40007,NM_020661.1,NA
CD209,2.25E-01,1.04E-01,1.638826,-5.3329,0.441948,NM_021155.2,
ICAM1,2.28E-01,1.06E-01,-1.631283,-5.3449,-0.359297,NM_000201.2,
TNFRSF1B,2.30E-01,1.07E-01,1.624814,-5.355,0.266121,NM_001066.2,
ZAP70,2.33E-01,1.09E-01,1.617108,-5.3671,0.468163,NM_001079.3,
TFRC,2.35E-01,1.10E-01,1.611067,-5.3766,0.272358,NM_003234.1,
MAGEB2,2.38E-01,1.12E-01,1.602182,-5.3904,0.565913,NM_002364.4,
ST6GAL1,2.38E-01,1.12E-01,1.601801,-5.391,0.395476,NM_003032.2,
ITCH,2.39E-01,1.13E-01,1.599045,-5.3952,0.201826,NM_001257138.1,
CD180,2.39E-01,1.13E-01,1.597398,-5.3978,0.541933,NM_005582.2,
TPSAB1,2.44E-01,1.16E-01,1.585475,-5.4162,0.431508,NM_003294.3,
NFKBIA,2.49E-01,1.19E-01,-1.573066,-5.4352,-0.192292,NM_020529.1,
ADORA2A,2.53E-01,1.21E-01,1.563913,-5.4491,0.278406,NM_000675.3,NA
IL16,2.54E-01,1.22E-01,1.560245,-5.4546,0.457798,NM_004513.4,
TLR4,2.55E-01,1.23E-01,1.557374,-5.459,0.323032,NM_138554.2,
BCL6,2.57E-01,1.24E-01,-1.551195,-5.4683,-0.181734,NM_001706.2,NA
SF3A3,2.57E-01,1.24E-01,-1.549533,-5.4708,-0.14789,NM_006802.2,
GTF3C1,2.58E-01,1.25E-01,-1.547218,-5.4743,-0.152843,NM_001520.3,
ENG,2.63E-01,1.28E-01,-1.533637,-5.4946,-0.200739,NM_001114753.1,
GPATCH3,2.63E-01,1.28E-01,-1.533006,-5.4955,-0.182576,NM_022078.2,
KIT,2.63E-01,1.28E-01,1.532936,-5.4956,0.488232,NM_000222.2,
CCL19,2.63E-01,1.29E-01,1.531872,-5.4972,0.769982,NM_006274.2,NA
CX3CL1,2.63E-01,1.29E-01,1.530257,-5.4996,0.377757,NM_002996.3,
SH2D1B,2.64E-01,1.30E-01,1.527443,-5.5038,0.384247,NM_053282.4,
TLR8,2.66E-01,1.31E-01,1.520867,-5.5135,0.37108,NM_016610.2,
CR2,2.67E-01,1.32E-01,1.516646,-5.5197,0.443689,NM_001006658.1,
CD28,2.67E-01,1.33E-01,1.516322,-5.5202,0.555681,NM_001243078.1,
C3,2.67E-01,1.33E-01,1.51442,-5.523,0.514026,NM_000064.2,NA
HLA-B,2.75E-01,1.37E-01,-1.498851,-5.5458,-0.276388,NM_005514.6,
SMAD3,2.75E-01,1.38E-01,-1.495639,-5.5504,-0.203371,NM_005902.3,
CD22,2.75E-01,1.38E-01,1.495553,-5.5506,0.63735,NM_001771.2,
CXCL1,2.75E-01,1.38E-01,-1.495051,-5.5513,-0.354717,NM_001511.1,
DNAJC14,2.75E-01,1.39E-01,1.492305,-5.5553,0.176613,NM_032364.5,
NFATC4,2.76E-01,1.39E-01,-1.489911,-5.5587,-0.275396,NM_001136022.2,
CTSW,2.76E-01,1.40E-01,1.489077,-5.56,0.461299,NM_001335.3,
TPTE,2.78E-01,1.41E-01,1.481998,-5.5702,0.444874,NM_199259.2,
IKBKG,2.78E-01,1.42E-01,-1.480435,-5.5724,-0.142625,NM_003639.2,
LTF,2.78E-01,1.42E-01,1.480352,-5.5725,0.90568,NM_002343.2,
CKLF,2.78E-01,1.42E-01,1.478622,-5.575,0.156557,NM_181640.2,
ISG15,2.79E-01,1.44E-01,-1.473592,-5.5822,-0.430614,NM_005101.3,
IL12RB1,2.79E-01,1.44E-01,1.473509,-5.5824,0.392393,NM_005535.1,
OSM,2.79E-01,1.44E-01,-1.472651,-5.5836,-0.463624,NM_020530.4,
CCR3,2.80E-01,1.45E-01,1.469988,-5.5874,0.342804,NM_001837.2,NA
IL13RA1,2.86E-01,1.48E-01,-1.457235,-5.6056,-0.179845,NM_001560.2,
CCR4,2.87E-01,1.49E-01,1.454284,-5.6097,0.41466,NM_005508.4,NA
IRAK1,2.87E-01,1.50E-01,-1.451939,-5.613,-0.14771,NM_001569.3,
KIR_Inhibiting_Subgroup_1,2.88E-01,1.50E-01,1.449326,-5.6167,0.355324,NM_014218.2,
PRG2,2.90E-01,1.52E-01,-1.444487,-5.6235,-0.365011,NM_002728.4,
PBK,2.90E-01,1.52E-01,1.44313,-5.6255,0.401183,NM_018492.2,
IL1B,2.90E-01,1.52E-01,-1.441722,-5.6274,-0.459849,NM_000576.2,
CXCL9,2.91E-01,1.53E-01,1.439012,-5.6312,0.550918,NM_002416.1,
TOLLIP,2.91E-01,1.53E-01,1.438322,-5.6322,0.143145,NM_019009.2,
CC2D1B,2.92E-01,1.55E-01,1.434141,-5.638,0.239335,NM_032449.2,
BLNK,2.92E-01,1.55E-01,1.431369,-5.6419,0.363085,NM_013314.2,NA
TNFSF11,2.92E-01,1.56E-01,1.430928,-5.6425,0.423032,NM_003701.2,
PDGFC,2.93E-01,1.56E-01,-1.428236,-5.6463,-0.355224,NM_016205.2,
SLAMF1,2.94E-01,1.57E-01,1.425418,-5.6502,0.453067,NM_003037.2,
AXL,2.96E-01,1.58E-01,-1.421094,-5.6562,-0.252049,NM_021913.2,NA
MAPKAPK2,2.97E-01,1.60E-01,-1.417152,-5.6616,-0.112726,NM_004759.3,
IL1RAPL2,2.97E-01,1.60E-01,1.41665,-5.6623,0.333742,NM_017416.1,
IL18RAP,2.97E-01,1.60E-01,1.414449,-5.6653,0.395647,NM_003853.2,
C1QB,2.97E-01,1.60E-01,1.413786,-5.6662,0.333065,NM_000491.3,NA
CD37,3.05E-01,1.66E-01,1.396587,-5.6898,0.498145,NM_001774.2,
HLA-DMA,3.05E-01,1.66E-01,1.39638,-5.6901,0.308744,NM_006120.3,
AMICA1,3.05E-01,1.66E-01,1.393961,-5.6934,0.273276,NM_153206.2,NA
ARG1,3.07E-01,1.68E-01,1.389105,-5.6999,0.525265,NM_000045.2,NA
PTGDR2,3.07E-01,1.68E-01,1.38876,-5.7004,0.271861,NM_004778.1,
YTHDF2,3.07E-01,1.68E-01,1.387839,-5.7017,0.099667,NM_001172828.1,
MAP2K2,3.13E-01,1.72E-01,-1.375387,-5.7184,-0.118823,NM_030662.2,
CXCL14,3.13E-01,1.72E-01,-1.374805,-5.7192,-0.496506,NM_004887.4,
CREB5,3.13E-01,1.73E-01,-1.371599,-5.7235,-0.320198,NM_182898.2,
CXCR2,3.13E-01,1.73E-01,1.370859,-5.7245,0.405202,NM_001557.2,
GZMM,3.14E-01,1.74E-01,1.367866,-5.7285,0.392168,NM_005317.2,
ATG10,3.14E-01,1.75E-01,1.367154,-5.7294,0.215075,NM_001131028.1,NA
IFNL1,3.18E-01,1.78E-01,-1.357818,-5.7418,-0.23145,NM_172140.1,
NUBP1,3.18E-01,1.78E-01,1.356254,-5.7439,0.194737,NM_001278506.1,
KLRC2,3.18E-01,1.78E-01,1.355111,-5.7454,0.475559,NM_002260.3,
EIF2B4,3.18E-01,1.78E-01,1.354926,-5.7457,0.113395,NM_172195.3,
ICAM4,3.29E-01,1.85E-01,1.334363,-5.7726,0.475256,NM_001039132.1,
ZNF346,3.35E-01,1.89E-01,1.321051,-5.7899,0.17659,NM_012279.2,
TNFRSF13B,3.35E-01,1.89E-01,1.321009,-5.7899,0.550169,NM_012452.2,
S100A7,3.42E-01,1.94E-01,-1.307442,-5.8073,-0.693639,NM_002963.2,
REPS1,3.42E-01,1.95E-01,1.305455,-5.8099,0.130642,NM_001128617.2,
CFI,3.42E-01,1.95E-01,1.305363,-5.81,0.284573,NM_000204.3,
MS4A1,3.46E-01,1.97E-01,1.298188,-5.8191,0.703617,NM_152866.2,
A2M,3.48E-01,1.99E-01,1.292758,-5.826,0.235731,NM_000014.4,NA
IRF8,3.49E-01,2.00E-01,1.29096,-5.8283,0.324483,NM_002163.2,
LRRN3,3.51E-01,2.02E-01,1.28498,-5.8358,0.268828,NM_001099660.1,
HLA-DQA1,3.55E-01,2.04E-01,1.278497,-5.8439,1.049466,NM_002122.3,
IL10RA,3.57E-01,2.06E-01,1.272887,-5.8509,0.282726,NM_001558.2,
LILRA4,3.61E-01,2.09E-01,1.265688,-5.8598,0.434443,NM_012276.3,
STAT1,3.61E-01,2.09E-01,1.264339,-5.8615,0.232804,NM_007315.2,
BLK,3.61E-01,2.09E-01,1.263543,-5.8625,0.450674,NM_001715.2,NA
CD1A,3.61E-01,2.10E-01,1.262248,-5.8641,0.410231,NM_001763.2,
HLA-G,3.66E-01,2.13E-01,-1.252578,-5.876,-0.231058,NM_002127.4,
IKBKE,3.67E-01,2.14E-01,1.249597,-5.8796,0.183503,NM_014002.2,
CSF2RB,3.69E-01,2.16E-01,1.244277,-5.8861,0.273399,NM_000395.2,
PDGFRB,3.69E-01,2.17E-01,-1.242408,-5.8884,-0.229779,NM_002609.3,
S100A12,3.69E-01,2.17E-01,-1.242133,-5.8887,-0.545012,NM_005621.1,
COG7,3.74E-01,2.21E-01,1.232767,-5.9,0.095617,NM_153603.3,
LBP,3.76E-01,2.23E-01,1.227116,-5.9068,0.354761,NM_004139.2,
IL6R,3.76E-01,2.23E-01,-1.226905,-5.9071,-0.160476,NM_000565.2,
MARCO,3.76E-01,2.23E-01,1.225551,-5.9087,0.450478,NM_006770.3,
IL6ST,3.76E-01,2.23E-01,1.225411,-5.9089,0.132555,NM_002184.2,
TNFRSF9,3.77E-01,2.25E-01,1.221414,-5.9137,0.258273,NM_001561.4,
IFI16,3.80E-01,2.27E-01,-1.216525,-5.9195,-0.145826,NM_005531.1,
MPPED1,3.80E-01,2.27E-01,1.215186,-5.9211,0.539542,NM_001044370.1,
CLU,3.80E-01,2.28E-01,1.212881,-5.9238,0.283927,NM_001831.2,
CD1C,3.82E-01,2.30E-01,1.208466,-5.9291,0.315472,NM_001765.2,
IL12RB2,3.83E-01,2.30E-01,1.206532,-5.9314,0.39837,NM_001559.2,
CCR7,3.84E-01,2.32E-01,1.202916,-5.9356,0.441361,NM_001838.2,NA
TNFSF4,3.85E-01,2.33E-01,1.199673,-5.9394,0.286435,NM_003326.2,
TANK,3.86E-01,2.34E-01,-1.197727,-5.9417,-0.119724,NM_004180.2,
NEG_F,3.92E-01,2.38E-01,-1.186319,-5.955,-0.255622,,ERCC_00126.1
FCER1G,3.92E-01,2.38E-01,1.185746,-5.9557,0.235024,NM_004106.1,
DMBT1,3.99E-01,2.43E-01,-1.174363,-5.9689,-0.603087,NM_007329.2,
TRAF6,4.01E-01,2.45E-01,-1.168631,-5.9754,-0.11368,NM_145803.1,
CASP3,4.11E-01,2.52E-01,1.153284,-5.9929,0.127546,NM_032991.2,NA
TLR7,4.12E-01,2.53E-01,1.150337,-5.9962,0.273708,NM_016562.3,
JAK3,4.14E-01,2.54E-01,1.146166,-6.0009,0.245539,NM_000215.2,
IDO1,4.15E-01,2.56E-01,1.143367,-6.0041,0.52138,NM_002164.3,
ECSIT,4.17E-01,2.57E-01,-1.139141,-6.0088,-0.127385,NM_001142464.2,
IL13RA2,4.19E-01,2.59E-01,1.134447,-6.014,0.287932,NM_000640.2,
HRAS,4.19E-01,2.60E-01,-1.133068,-6.0156,-0.132806,NM_005343.2,
GUSB,4.25E-01,2.64E-01,1.12357,-6.0261,0.147355,NM_000181.1,
CXCL16,4.27E-01,2.66E-01,-1.118945,-6.0312,-0.141938,NM_001100812.1,
ICOSLG,4.34E-01,2.71E-01,1.106972,-6.0442,0.216732,NM_015259.4,
ZKSCAN5,4.41E-01,2.76E-01,-1.09583,-6.0563,-0.158242,NM_014569.3,
DDX50,4.47E-01,2.80E-01,1.086803,-6.0659,0.07745,NM_024045.1,
NEG_A,4.48E-01,2.81E-01,-1.083399,-6.0696,-0.189068,,ERCC_00096.1
CCL17,4.48E-01,2.82E-01,1.081595,-6.0715,0.303044,NM_002987.2,NA
IL2RB,4.48E-01,2.82E-01,1.081233,-6.0719,0.239281,NM_000878.2,
BCL2,4.48E-01,2.83E-01,1.079953,-6.0732,0.313254,NM_000657.2,NA
IL17RA,4.49E-01,2.84E-01,1.076471,-6.0769,0.111805,NM_014339.6,
IRF5,4.51E-01,2.86E-01,1.072954,-6.0806,0.159536,NM_002200.3,
CCL27,4.53E-01,2.88E-01,1.068823,-6.085,0.213882,NM_006664.2,NA
C1R,4.55E-01,2.90E-01,-1.063945,-6.0901,-0.170594,NM_001733.4,NA
PSEN2,4.56E-01,2.91E-01,1.06163,-6.0925,0.188906,NM_000447.2,
GAGE1,4.56E-01,2.92E-01,1.060083,-6.0941,0.303153,NM_001040663.2,
ABCF1,4.56E-01,2.92E-01,-1.05981,-6.0944,-0.087778,NM_001090.2,
TLR2,4.56E-01,2.93E-01,-1.056846,-6.0975,-0.166968,NM_003264.3,
DUSP4,4.56E-01,2.93E-01,-1.05651,-6.0978,-0.220181,NM_057158.2,
LILRB2,4.56E-01,2.94E-01,1.055718,-6.0986,0.238589,NM_005874.1,
IKBKB,4.58E-01,2.95E-01,-1.051871,-6.1026,-0.132366,NM_001556.1,
AMMECR1L,4.61E-01,2.99E-01,-1.044446,-6.1103,-0.067566,NM_001199140.1,
CDK1,4.61E-01,3.00E-01,-1.042716,-6.112,-0.134172,NM_001786.4,
STAT2,4.61E-01,3.00E-01,-1.041803,-6.113,-0.129792,NM_005419.2,
POU2F2,4.61E-01,3.00E-01,1.041415,-6.1134,0.218277,NM_002698.2,
LILRB3,4.69E-01,3.06E-01,-1.029345,-6.1257,-0.271412,NM_006864.2,
C2,4.72E-01,3.08E-01,1.023769,-6.1313,0.210415,NM_000063.3,NA
C5,4.74E-01,3.10E-01,1.019458,-6.1356,0.168752,NM_001735.2,NA
THY1,4.76E-01,3.12E-01,-1.015608,-6.1395,-0.216597,NM_006288.2,
STAT4,4.79E-01,3.15E-01,1.009871,-6.1452,0.244181,NM_003151.2,
SDHA,4.79E-01,3.16E-01,1.007989,-6.147,0.082937,NM_004168.1,
PPBP,4.79E-01,3.16E-01,-1.007598,-6.1474,-0.379167,NM_002704.2,
RUNX3,4.81E-01,3.18E-01,1.004264,-6.1507,0.168397,NM_004350.1,
CD164,4.83E-01,3.20E-01,0.999324,-6.1556,0.120368,NM_006016.4,
TGFB2,4.85E-01,3.22E-01,-0.995715,-6.1591,-0.250979,NM_003238.2,
DHX16,4.85E-01,3.22E-01,-0.994489,-6.1603,-0.078146,NM_001164239.1,
CD68,4.90E-01,3.26E-01,-0.98604,-6.1686,-0.149824,NM_001251.2,
CSF3,4.90E-01,3.27E-01,0.984283,-6.1703,0.200016,NM_000759.3,
ILF3,4.90E-01,3.28E-01,-0.983366,-6.1712,-0.087154,NM_001137673.1,
SPA17,4.99E-01,3.34E-01,-0.970862,-6.1832,-0.163601,NM_017425.3,
TNFSF12,5.01E-01,3.36E-01,0.96671,-6.1871,0.180751,NM_003809.2,
ATF2,5.03E-01,3.38E-01,-0.962789,-6.1909,-0.101986,NM_001256090.1,NA
MRPS5,5.20E-01,3.50E-01,0.939115,-6.213,0.058061,NM_031902.3,
CCL5,5.26E-01,3.55E-01,0.929833,-6.2216,0.276954,NM_002985.2,NA
MAPK11,5.29E-01,3.57E-01,-0.924598,-6.2263,-0.181528,NM_002751.5,
USP39,5.37E-01,3.63E-01,0.912893,-6.2369,0.126513,NM_001256725.1,
COLEC12,5.37E-01,3.64E-01,0.91162,-6.2381,0.288897,NM_130386.2,
CD7,5.43E-01,3.69E-01,0.902244,-6.2465,0.240537,NM_006137.6,
SPN,5.43E-01,3.70E-01,0.900387,-6.2481,0.264103,NM_003123.3,
CCL25,5.47E-01,3.73E-01,0.894196,-6.2536,0.234564,NM_005624.2,NA
AIRE,5.51E-01,3.77E-01,0.887971,-6.259,0.221079,NM_000383.2,NA
CCL13,5.52E-01,3.78E-01,0.885722,-6.261,0.267256,NM_005408.2,NA
IRAK4,5.55E-01,3.81E-01,0.879871,-6.2661,0.112775,NM_016123.1,
TAL1,5.57E-01,3.84E-01,-0.874491,-6.2707,-0.208215,NM_003189.2,
ANP32B,5.57E-01,3.85E-01,-0.873222,-6.2718,-0.091511,NM_006401.2,NA
PSMB9,5.57E-01,3.85E-01,0.873069,-6.272,0.161431,NM_002800.4,
CSF1R,5.65E-01,3.91E-01,0.860686,-6.2826,0.165929,NM_005211.2,
HLA-E,5.65E-01,3.92E-01,-0.860433,-6.2828,-0.116357,NM_005516.4,
NEG_D,5.65E-01,3.92E-01,0.859833,-6.2833,0.092013,,ERCC_00076.1
TNFSF10,5.68E-01,3.95E-01,-0.853646,-6.2885,-0.181337,NM_003810.2,
PSEN1,5.68E-01,3.96E-01,0.851776,-6.2901,0.072767,NM_000021.2,
S100B,5.68E-01,3.97E-01,0.851236,-6.2905,0.235947,NM_006272.1,
TUBB,5.68E-01,3.97E-01,0.850226,-6.2914,0.095974,NM_178014.2,
CCL3,5.69E-01,3.99E-01,-0.847414,-6.2937,-0.205211,NM_002983.2,NA
ANXA1,5.74E-01,4.02E-01,-0.84085,-6.2992,-0.205551,NM_000700.1,NA
HSD11B1,5.76E-01,4.05E-01,0.836095,-6.3031,0.226943,NM_181755.1,
IL32,5.76E-01,4.05E-01,-0.835531,-6.3036,-0.135922,NM_001012633.1,
TAPBP,5.78E-01,4.08E-01,-0.830821,-6.3075,-0.109417,NM_003190.4,
IL11RA,5.79E-01,4.09E-01,-0.828651,-6.3092,-0.193055,NM_147162.1,
MAPK1,5.79E-01,4.10E-01,-0.827045,-6.3106,-0.081726,NM_138957.2,
CCL14,5.81E-01,4.12E-01,0.824212,-6.3129,0.275113,NM_032963.3,NA
CD163,5.83E-01,4.14E-01,0.820268,-6.3161,0.171124,NM_004244.4,
SELPLG,5.92E-01,4.21E-01,0.807974,-6.3259,0.164481,NM_001206609.1,
C4B,5.93E-01,4.23E-01,-0.805248,-6.3281,-0.247001,NM_001002029.3,NA
PRKCD,5.96E-01,4.26E-01,0.800061,-6.3322,0.078534,NM_006254.3,
SYT17,5.99E-01,4.29E-01,0.79466,-6.3365,0.232154,NM_016524.2,
CD40,5.99E-01,4.31E-01,0.791376,-6.339,0.136551,NM_001250.4,
CD83,5.99E-01,4.31E-01,0.790485,-6.3397,0.154529,NM_004233.3,
CD81,5.99E-01,4.31E-01,-0.789908,-6.3402,-0.07508,NM_004356.3,
FYN,5.99E-01,4.32E-01,-0.789293,-6.3407,-0.119128,NM_002037.3,
GPI,6.06E-01,4.38E-01,-0.779461,-6.3483,-0.095712,NM_000175.2,
CD97,6.06E-01,4.38E-01,0.777911,-6.3495,0.11903,NM_078481.2,
PSMB8,6.08E-01,4.41E-01,0.774347,-6.3522,0.09135,NM_004159.4,
MYD88,6.12E-01,4.45E-01,0.767272,-6.3576,0.098192,NM_002468.3,
CFB,6.12E-01,4.45E-01,-0.76648,-6.3582,-0.183395,NM_001710.5,
PSMB7,6.14E-01,4.47E-01,-0.763516,-6.3604,-0.082474,NM_002799.2,
CNOT4,6.14E-01,4.48E-01,0.761567,-6.3619,0.071099,NM_001190848.1,
IL10,6.25E-01,4.57E-01,0.746294,-6.3733,0.190238,NM_000572.2,
IL22,6.25E-01,4.58E-01,0.745589,-6.3738,0.170574,NM_020525.4,
ULBP2,6.25E-01,4.58E-01,-0.744248,-6.3748,-0.221743,NM_025217.2,
FOXP3,6.25E-01,4.59E-01,0.743387,-6.3754,0.146358,NM_014009.3,
MX1,6.26E-01,4.60E-01,-0.741096,-6.3771,-0.172209,NM_002462.2,
MICB,6.32E-01,4.66E-01,0.732095,-6.3836,0.126666,NM_005931.3,
TBK1,6.33E-01,4.67E-01,-0.729652,-6.3854,-0.063593,NM_013254.2,
MAPK14,6.39E-01,4.73E-01,0.72015,-6.3922,0.051205,NM_001315.1,
SPINK5,6.44E-01,4.77E-01,0.713407,-6.397,0.267752,NM_006846.3,
MASP1,6.49E-01,4.82E-01,-0.705571,-6.4025,-0.212409,NM_139125.3,
ITGA4,6.56E-01,4.89E-01,0.694791,-6.4099,0.143455,NM_000885.4,
PRPF38A,6.56E-01,4.90E-01,0.69235,-6.4116,0.049423,NM_032864.3,
CD36,6.56E-01,4.90E-01,-0.692321,-6.4116,-0.213565,NM_001001548.2,
IL1A,6.56E-01,4.91E-01,-0.69178,-6.412,-0.21662,NM_000575.3,
IRF3,6.56E-01,4.91E-01,-0.69143,-6.4122,-0.094809,NM_001571.5,
HMGB1,6.58E-01,4.93E-01,-0.687667,-6.4148,-0.085327,NM_002128.4,
SPP1,6.64E-01,4.99E-01,-0.679288,-6.4205,-0.25018,NM_000582.2,
CDH1,6.68E-01,5.03E-01,-0.672845,-6.4248,-0.099757,NM_004360.2,
CREBBP,6.76E-01,5.10E-01,-0.661961,-6.4319,-0.1187,NM_004380.2,
SPANXB1,6.81E-01,5.16E-01,0.651374,-6.4388,0.161849,NM_032461.2,
TNFRSF8,6.81E-01,5.16E-01,-0.651216,-6.4389,-0.205461,NM_152942.2,
NOTCH1,6.81E-01,5.18E-01,-0.648767,-6.4405,-0.100942,NM_017617.3,
ZC3H14,6.81E-01,5.18E-01,-0.648652,-6.4406,-0.057033,NM_001160103.1,
MAP2K1,6.81E-01,5.19E-01,-0.64789,-6.4411,-0.057901,NM_002755.2,
TNFRSF10C,6.81E-01,5.20E-01,0.645251,-6.4427,0.15572,NM_003841.3,
MRC1,6.81E-01,5.21E-01,0.644686,-6.4431,0.187345,NM_002438.2,
CSF3R,6.81E-01,5.21E-01,0.643805,-6.4437,0.152109,NM_156038.2,
CLEC4C,6.81E-01,5.21E-01,0.643355,-6.444,0.208014,NM_203503.1,
LAMP3,6.86E-01,5.26E-01,0.636376,-6.4484,0.132615,NM_014398.3,
EP300,6.92E-01,5.31E-01,0.627909,-6.4537,0.046268,NM_001429.2,
XCL2,6.92E-01,5.32E-01,0.626653,-6.4544,0.175927,NM_003175.3,
IL1RL2,6.93E-01,5.35E-01,-0.623144,-6.4566,-0.168934,NM_003854.2,
IFIT2,6.93E-01,5.35E-01,0.623099,-6.4566,0.195428,NM_001547.4,
TNFRSF13C,6.93E-01,5.36E-01,0.621308,-6.4577,0.201746,NM_052945.3,
APOE,6.93E-01,5.36E-01,0.620425,-6.4583,0.183434,NM_000041.2,NA
CTLA4,6.95E-01,5.39E-01,0.616529,-6.4607,0.151899,NM_005214.3,
CTAG1B,6.95E-01,5.40E-01,0.615407,-6.4614,0.16859,NM_001327.2,
LTK,6.95E-01,5.41E-01,0.613368,-6.4626,0.174845,NM_001135685.1,
CTSL,6.97E-01,5.44E-01,0.609285,-6.4651,0.13148,NM_001912.4,
PPIA,6.97E-01,5.44E-01,-0.608582,-6.4655,-0.070606,NM_021130.2,
BATF,6.98E-01,5.46E-01,0.606386,-6.4668,0.135078,NM_006399.3,NA
