Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
MST1R,4.56E-01,1.78E-01,-1.35507,-5.5628,-0.25197,NM_002447.1,
CREB5,4.56E-01,1.78E-01,-1.35485,-5.5631,-0.31001,NM_182898.2,
FYN,4.58E-01,1.80E-01,-1.35063,-5.5686,-0.19864,NM_002037.3,
CD244,4.70E-01,1.86E-01,1.33263,-5.592,0.31395,NM_016382.2,
C7,4.70E-01,1.86E-01,1.33153,-5.5934,0.60353,NM_000587.2,NA
MEFV,4.70E-01,1.86E-01,-1.33077,-5.5944,-0.35998,NM_000243.2,
PYCARD,4.70E-01,1.87E-01,-1.32867,-5.5971,-0.21813,NM_013258.3,
NEFL,4.72E-01,1.88E-01,-1.32428,-5.6027,-0.47641,NM_006158.3,
IL32,4.77E-01,1.91E-01,-1.31612,-5.6132,-0.20879,NM_001012633.1,
MR1,4.77E-01,1.92E-01,1.31354,-5.6165,0.31568,NM_001531.2,
SMPD3,4.77E-01,1.92E-01,-1.31258,-5.6177,-0.36947,NM_018667.3,
MAF,4.88E-01,1.98E-01,-1.29695,-5.6374,-0.21709,NM_005360.4,
TNFSF15,4.88E-01,1.98E-01,1.2961,-5.6385,0.35969,NM_001204344.1,
MS4A2,4.88E-01,1.99E-01,1.29311,-5.6423,0.38,NM_000139.3,
DMBT1,4.88E-01,1.99E-01,-1.29143,-5.6444,-0.64892,NM_007329.2,
CD8A,4.88E-01,2.01E-01,1.28809,-5.6485,0.421,NM_001768.5,
CCL27,4.88E-01,2.01E-01,1.28782,-5.6489,0.25192,NM_006664.2,NA
MAPK14,4.88E-01,2.01E-01,1.28686,-5.6501,0.0893,NM_001315.1,
TRIM39,4.88E-01,2.02E-01,-1.28357,-5.6542,-0.16319,NM_021253.3,
SELE,4.88E-01,2.02E-01,1.28322,-5.6546,0.41879,NM_000450.2,
CD247,4.89E-01,2.03E-01,1.28043,-5.6581,0.31601,NM_198053.1,
PSMD7,4.90E-01,2.04E-01,-1.2772,-5.6621,-0.13761,NM_002811.3,
PDGFC,4.90E-01,2.05E-01,-1.27553,-5.6642,-0.3115,NM_016205.2,
CD3EAP,4.93E-01,2.07E-01,-1.2703,-5.6706,-0.17561,NM_012099.1,
MAP3K7,4.99E-01,2.10E-01,1.26048,-5.6827,0.09858,NM_145333.1,
CD58,4.99E-01,2.11E-01,1.25988,-5.6834,0.16399,NM_001779.2,
IRF4,5.05E-01,2.14E-01,1.25032,-5.695,0.39146,NM_002460.1,
IL12RB2,5.06E-01,2.15E-01,1.24751,-5.6984,0.40341,NM_001559.2,
MAVS,5.06E-01,2.16E-01,-1.24593,-5.7003,-0.12808,NM_020746.3,
SELL,5.06E-01,2.17E-01,1.24138,-5.7058,0.38281,NR_029467.1,
NEG_B,5.06E-01,2.18E-01,1.24063,-5.7067,0.20568,,ERCC_00041.1
CHUK,5.06E-01,2.18E-01,-1.2402,-5.7073,-0.09546,NM_001278.3,
HSD11B1,5.06E-01,2.18E-01,1.23842,-5.7094,0.32805,NM_181755.1,
CMKLR1,5.06E-01,2.19E-01,1.23728,-5.7108,0.27842,NM_004072.1,
MRPS5,5.08E-01,2.20E-01,1.23349,-5.7153,0.07464,NM_031902.3,
IL2RA,5.08E-01,2.22E-01,-1.23006,-5.7194,-0.23152,NM_000417.1,
IL11RA,5.08E-01,2.22E-01,-1.22761,-5.7223,-0.27915,NM_147162.1,
CD19,5.08E-01,2.22E-01,1.22755,-5.7224,0.45128,NM_001770.4,
SMAD2,5.09E-01,2.24E-01,1.2242,-5.7264,0.1378,NM_005901.5,
LILRA4,5.09E-01,2.24E-01,1.22264,-5.7283,0.41143,NM_012276.3,
MAPKAPK2,5.09E-01,2.25E-01,-1.22138,-5.7298,-0.09555,NM_004759.3,
TNFRSF10B,5.21E-01,2.31E-01,-1.20603,-5.7478,-0.14283,NM_003842.3,
KIR_Activating_Subgroup_2,5.21E-01,2.31E-01,-1.20491,-5.7492,-0.28733,NM_014512.1,
PTGDR2,5.35E-01,2.38E-01,1.18649,-5.7706,0.2282,NM_004778.1,
ATM,5.35E-01,2.39E-01,-1.18418,-5.7732,-0.31178,NM_000051.3,NA
HLA-DPA1,5.35E-01,2.40E-01,1.18161,-5.7762,0.28172,NM_033554.2,
AMICA1,5.35E-01,2.40E-01,1.18155,-5.7762,0.22761,NM_153206.2,NA
CFI,5.35E-01,2.42E-01,1.17714,-5.7813,0.25187,NM_000204.3,
ZNF205,5.35E-01,2.42E-01,-1.17667,-5.7818,-0.17193,NM_001031686.1,
LBP,5.35E-01,2.42E-01,1.17575,-5.7829,0.33328,NM_004139.2,
CD84,5.39E-01,2.45E-01,1.16943,-5.7901,0.3192,NM_001184879.1,
SBNO2,5.47E-01,2.49E-01,-1.15854,-5.8024,-0.12576,NM_014963.2,
FLT3,5.47E-01,2.50E-01,1.15608,-5.8052,0.3103,NM_004119.1,
IL21R,5.47E-01,2.51E-01,1.1556,-5.8057,0.33663,NM_021798.2,
IFI27,5.52E-01,2.54E-01,-1.14823,-5.814,-0.30311,NM_005532.3,
CDH5,5.54E-01,2.56E-01,1.14288,-5.8199,0.18281,NM_001795.3,
SPA17,5.54E-01,2.57E-01,-1.14106,-5.822,-0.18812,NM_017425.3,
AXL,5.54E-01,2.57E-01,-1.13958,-5.8236,-0.19878,NM_021913.2,NA
ITCH,5.54E-01,2.57E-01,1.13913,-5.8241,0.1418,NM_001257138.1,
ATG10,5.58E-01,2.60E-01,1.13365,-5.8302,0.17529,NM_001131028.1,NA
ENG,5.58E-01,2.61E-01,-1.13074,-5.8334,-0.14584,NM_001114753.1,
CD86,5.58E-01,2.62E-01,1.12851,-5.8358,0.23956,NM_175862.3,
C4B,5.58E-01,2.62E-01,-1.12826,-5.8361,-0.33809,NM_001002029.3,NA
CD27,5.58E-01,2.63E-01,1.12555,-5.8391,0.38478,NM_001242.4,
LCP1,5.58E-01,2.63E-01,1.12483,-5.8398,0.23515,NM_002298.4,
CD1A,5.60E-01,2.65E-01,1.12041,-5.8447,0.35739,NM_001763.2,
CD1D,5.69E-01,2.70E-01,1.10924,-5.8568,0.24781,NM_001766.3,
PLA2G6,5.69E-01,2.72E-01,-1.10478,-5.8616,-0.1515,NM_001004426.1,
CD180,5.69E-01,2.72E-01,1.10467,-5.8617,0.3696,NM_005582.2,
CD3E,5.69E-01,2.72E-01,1.1036,-5.8629,0.31672,NM_000733.2,
FCER1A,5.69E-01,2.73E-01,1.10212,-5.8645,0.36717,NM_002001.2,
IL3RA,5.72E-01,2.75E-01,1.09764,-5.8693,0.22764,NM_002183.2,
IFNAR1,5.78E-01,2.79E-01,1.08944,-5.878,0.14762,NM_000629.2,
AICDA,5.86E-01,2.84E-01,1.07768,-5.8904,0.25881,NM_020661.1,NA
CD4,5.86E-01,2.84E-01,1.07726,-5.8908,0.2395,NM_000616.4,
HMGB1,5.86E-01,2.85E-01,-1.07502,-5.8932,-0.13033,NM_002128.4,
MAGEC2,5.92E-01,2.89E-01,1.06693,-5.9016,0.29153,NM_016249.3,
NUP107,5.93E-01,2.91E-01,-1.06239,-5.9063,-0.12715,NM_020401.2,
SPINK5,5.93E-01,2.91E-01,1.06215,-5.9066,0.38943,NM_006846.3,
CD70,5.93E-01,2.92E-01,-1.05953,-5.9093,-0.40708,NM_001252.2,
DOCK9,5.93E-01,2.92E-01,1.05878,-5.9101,0.1309,NM_001130048.1,
TNFRSF8,5.93E-01,2.93E-01,-1.05722,-5.9117,-0.32574,NM_152942.2,
AKT3,5.95E-01,2.94E-01,-1.0542,-5.9148,-0.19535,NM_181690.1,NA
CD209,6.02E-01,2.99E-01,1.04471,-5.9245,0.27821,NM_021155.2,
TXNIP,6.05E-01,3.01E-01,-1.04003,-5.9293,-0.17613,NM_006472.1,
ITK,6.11E-01,3.05E-01,1.0315,-5.9379,0.31676,NM_005546.3,
ABCB1,6.11E-01,3.06E-01,1.0294,-5.94,0.23081,NM_000927.3,NA
TLR2,6.12E-01,3.07E-01,-1.0276,-5.9418,-0.15917,NM_003264.3,
MERTK,6.12E-01,3.08E-01,1.02558,-5.9438,0.18517,NM_006343.2,
CCL14,6.12E-01,3.09E-01,1.02224,-5.9471,0.33375,NM_032963.3,NA
CD24,6.12E-01,3.09E-01,-1.02185,-5.9475,-0.25305,NM_013230.2,
DHX16,6.16E-01,3.13E-01,-1.01468,-5.9547,-0.07821,NM_001164239.1,
CHIT1,6.16E-01,3.14E-01,1.01107,-5.9582,0.34975,NM_003465.2,
MICA,6.16E-01,3.15E-01,-1.01045,-5.9588,-0.14273,NM_000247.1,
IFNL1,6.16E-01,3.15E-01,-1.01041,-5.9589,-0.16948,NM_172140.1,
HLA-C,6.16E-01,3.15E-01,-1.00926,-5.96,-0.18995,NM_002117.4,
CD96,6.18E-01,3.17E-01,1.00551,-5.9637,0.21783,NM_005816.4,
COG7,6.18E-01,3.18E-01,1.00286,-5.9663,0.07651,NM_153603.3,
CT45A1,6.18E-01,3.19E-01,1.00221,-5.9669,0.50245,NM_001017417.1,
S100A8,6.20E-01,3.21E-01,0.99793,-5.9711,0.33422,NM_002964.3,
TREM1,6.20E-01,3.22E-01,-0.99511,-5.9738,-0.37798,NM_018643.3,
OSM,6.20E-01,3.22E-01,-0.99462,-5.9743,-0.30859,NM_020530.4,
PSMB7,6.20E-01,3.23E-01,-0.99361,-5.9753,-0.10502,NM_002799.2,
CXCL6,6.20E-01,3.23E-01,-0.99251,-5.9764,-0.3394,NM_002993.3,
PAX5,6.30E-01,3.30E-01,0.97976,-5.9886,0.3428,NM_016734.1,
NCF4,6.33E-01,3.32E-01,0.9739,-5.9942,0.22048,NM_000631.4,
IL19,6.33E-01,3.33E-01,0.97371,-5.9944,0.33844,NM_013371.3,
TYK2,6.34E-01,3.34E-01,0.97112,-5.9969,0.13418,NM_003331.3,
GTF3C1,6.34E-01,3.35E-01,-0.96952,-5.9984,-0.09458,NM_001520.3,
IL1R1,6.34E-01,3.36E-01,-0.96619,-6.0015,-0.14319,NM_000877.2,
TNFSF13B,6.34E-01,3.38E-01,0.96222,-6.0053,0.24838,NM_006573.4,
IL12RB1,6.34E-01,3.38E-01,0.96168,-6.0058,0.25248,NM_005535.1,
KIT,6.34E-01,3.39E-01,0.96056,-6.0068,0.30187,NM_000222.2,
ETS1,6.34E-01,3.39E-01,0.96031,-6.0071,0.17534,NM_005238.3,
IDO1,6.34E-01,3.40E-01,0.95947,-6.0078,0.42951,NM_002164.3,
SIGIRR,6.39E-01,3.44E-01,0.95018,-6.0165,0.18675,NM_021805.2,
UBC,6.39E-01,3.45E-01,-0.94864,-6.0179,-0.08071,NM_021009.3,
SIGLEC1,6.39E-01,3.46E-01,-0.94738,-6.0191,-0.23495,NM_023068.3,
IKBKB,6.39E-01,3.46E-01,-0.94624,-6.0202,-0.11685,NM_001556.1,
GPATCH3,6.39E-01,3.47E-01,-0.94567,-6.0207,-0.1112,NM_022078.2,
PSMB8,6.40E-01,3.48E-01,0.94303,-6.0231,0.10891,NM_004159.4,
ADORA2A,6.44E-01,3.52E-01,0.93577,-6.0298,0.16451,NM_000675.3,NA
IL1R2,6.44E-01,3.52E-01,0.93492,-6.0306,0.30586,NM_173343.1,
PDGFRB,6.44E-01,3.54E-01,-0.93076,-6.0343,-0.16926,NM_002609.3,
IL18R1,6.44E-01,3.55E-01,-0.93014,-6.0349,-0.18742,NM_003855.2,
TLR4,6.44E-01,3.55E-01,0.92993,-6.0351,0.19046,NM_138554.2,
DPP4,6.44E-01,3.55E-01,-0.92949,-6.0355,-0.24289,NM_001935.3,
FOXJ1,6.46E-01,3.57E-01,-0.92538,-6.0392,-0.23061,NM_001454.3,
ITGB2,6.46E-01,3.58E-01,0.92384,-6.0406,0.19467,NM_000211.2,
NOD2,6.46E-01,3.58E-01,0.92252,-6.0418,0.30002,NM_022162.1,
CD36,6.48E-01,3.60E-01,-0.91898,-6.045,-0.27729,NM_001001548.2,
IL6ST,6.49E-01,3.63E-01,0.91465,-6.0489,0.09732,NM_002184.2,
CD38,6.49E-01,3.63E-01,0.9144,-6.0491,0.28086,NM_001775.2,
CCL7,6.50E-01,3.64E-01,0.91099,-6.0521,0.19582,NM_006273.2,NA
CSF3R,6.50E-01,3.65E-01,0.91083,-6.0523,0.21045,NM_156038.2,
GZMM,6.51E-01,3.67E-01,0.90708,-6.0556,0.25614,NM_005317.2,
REPS1,6.51E-01,3.69E-01,0.90226,-6.0599,0.08892,NM_001128617.2,
PDCD1,6.51E-01,3.70E-01,0.90107,-6.0609,0.27138,NM_005018.1,
C3AR1,6.51E-01,3.70E-01,0.901,-6.061,0.23629,NM_004054.2,NA
IL22RA1,6.51E-01,3.70E-01,-0.89985,-6.062,-0.18485,NM_021258.2,
CXCL16,6.51E-01,3.71E-01,-0.89941,-6.0624,-0.11208,NM_001100812.1,
HLA-DPB1,6.51E-01,3.72E-01,0.89734,-6.0642,0.22677,NM_002121.4,
ATF2,6.51E-01,3.72E-01,-0.89652,-6.0649,-0.09317,NM_001256090.1,NA
ITGAL,6.64E-01,3.80E-01,0.88166,-6.0778,0.22701,NM_002209.2,
SPP1,6.74E-01,3.87E-01,-0.86886,-6.0888,-0.3131,NM_000582.2,
ZNF346,6.77E-01,3.90E-01,0.86276,-6.094,0.1136,NM_012279.2,
HLA-B,6.77E-01,3.91E-01,-0.86123,-6.0952,-0.15678,NM_005514.6,
TICAM2,6.77E-01,3.92E-01,0.86028,-6.0961,0.16988,NM_021649.4,
VCAM1,6.77E-01,3.92E-01,0.85942,-6.0968,0.35061,NM_001078.3,
TNFRSF1B,6.77E-01,3.93E-01,0.85813,-6.0979,0.13903,NM_001066.2,
PTGS2,6.77E-01,3.95E-01,-0.85502,-6.1005,-0.26203,NM_000963.1,
F12,6.77E-01,3.95E-01,0.85479,-6.1007,0.19834,NM_000505.3,
CKLF,6.77E-01,3.98E-01,0.84963,-6.105,0.08883,NM_181640.2,
POU2F2,6.77E-01,3.98E-01,0.84907,-6.1054,0.17471,NM_002698.2,
DDX50,6.77E-01,3.98E-01,0.84872,-6.1057,0.05949,NM_024045.1,
IL13RA2,6.77E-01,3.99E-01,0.84759,-6.1067,0.21139,NM_000640.2,
MYD88,6.77E-01,4.00E-01,0.84608,-6.1079,0.10608,NM_002468.3,
IL12A,6.77E-01,4.00E-01,0.8453,-6.1086,0.22721,NM_000882.2,
CD5,6.79E-01,4.02E-01,0.8409,-6.1122,0.19746,NM_014207.2,
HLA-G,6.79E-01,4.03E-01,-0.8405,-6.1125,-0.15259,NM_002127.4,
CD68,6.83E-01,4.06E-01,-0.835,-6.117,-0.12452,NM_001251.2,
C5,6.86E-01,4.08E-01,-0.83026,-6.1209,-0.13493,NM_001735.2,NA
TNFRSF10C,6.86E-01,4.11E-01,0.82474,-6.1254,0.19479,NM_003841.3,
STAT2,6.86E-01,4.12E-01,-0.82383,-6.1261,-0.10082,NM_005419.2,
CCL19,6.86E-01,4.12E-01,0.8234,-6.1264,0.40883,NM_006274.2,NA
NEG_C,6.86E-01,4.13E-01,-0.82265,-6.127,-0.16894,,ERCC_00019.1
HLA-A,6.86E-01,4.13E-01,-0.82172,-6.1278,-0.13452,NM_002116.5,
TAPBP,6.90E-01,4.16E-01,-0.81623,-6.1322,-0.10539,NM_003190.4,
NEG_G,6.90E-01,4.17E-01,0.81491,-6.1332,0.06145,,ERCC_00144.1
CXCL13,6.93E-01,4.20E-01,0.80932,-6.1377,0.30625,NM_006419.2,
CCL21,6.93E-01,4.21E-01,0.80792,-6.1388,0.32058,NM_002989.2,NA
MAGEB2,7.03E-01,4.28E-01,0.79607,-6.1481,0.27812,NM_002364.4,
JAK3,7.05E-01,4.30E-01,0.79281,-6.1506,0.167,NM_000215.2,
TP53,7.15E-01,4.37E-01,0.78019,-6.1604,0.12605,NM_000546.2,
IKBKG,7.15E-01,4.38E-01,-0.77802,-6.162,-0.07407,NM_003639.2,
CLU,7.15E-01,4.39E-01,0.77778,-6.1622,0.17918,NM_001831.2,
IFI16,7.15E-01,4.40E-01,-0.77566,-6.1638,-0.09154,NM_005531.1,
ZAP70,7.17E-01,4.42E-01,0.77201,-6.1666,0.22117,NM_001079.3,
LILRB2,7.17E-01,4.43E-01,0.76979,-6.1683,0.17092,NM_005874.1,
CXCL9,7.17E-01,4.45E-01,0.7676,-6.1699,0.29004,NM_002416.1,
TNFSF11,7.17E-01,4.45E-01,0.76719,-6.1702,0.22383,NM_003701.2,
CD74,7.19E-01,4.47E-01,-0.7633,-6.1731,-0.17891,NM_001025159.1,
IL10RA,7.19E-01,4.48E-01,0.76247,-6.1737,0.16681,NM_001558.2,
NLRP3,7.21E-01,4.50E-01,0.75884,-6.1765,0.18009,NM_001079821.2,
CC2D1B,7.29E-01,4.56E-01,0.74907,-6.1837,0.12341,NM_032449.2,
ZC3H14,7.31E-01,4.58E-01,-0.7455,-6.1863,-0.06425,NM_001160103.1,
HLA-DMB,7.31E-01,4.59E-01,0.74383,-6.1875,0.17257,NM_002118.3,
TLR8,7.32E-01,4.60E-01,0.74149,-6.1892,0.17882,NM_016610.2,
MSR1,7.32E-01,4.62E-01,-0.73786,-6.1918,-0.18746,NM_002445.3,
CCR7,7.32E-01,4.63E-01,0.7363,-6.193,0.26589,NM_001838.2,NA
CD200,7.32E-01,4.63E-01,-0.73621,-6.193,-0.21463,NM_005944.5,
CXCL14,7.36E-01,4.67E-01,-0.73081,-6.1969,-0.26033,NM_004887.4,
IFIT2,7.38E-01,4.69E-01,0.72745,-6.1993,0.22341,NM_001547.4,
IL1B,7.41E-01,4.72E-01,-0.72235,-6.2029,-0.22748,NM_000576.2,
TNFSF13,7.42E-01,4.75E-01,-0.71718,-6.2066,-0.1216,NM_003808.3,
CSF1R,7.42E-01,4.75E-01,0.71708,-6.2067,0.13563,NM_005211.2,
SH2D1B,7.42E-01,4.76E-01,0.71575,-6.2076,0.17801,NM_053282.4,
CXCL1,7.42E-01,4.77E-01,-0.71336,-6.2093,-0.16726,NM_001511.1,
CR1,7.42E-01,4.79E-01,0.71013,-6.2115,0.23666,NM_000651.4,
MAPK1,7.42E-01,4.80E-01,-0.70862,-6.2126,-0.06873,NM_138957.2,
CD79B,7.42E-01,4.82E-01,0.7049,-6.2152,0.2144,NM_021602.2,
IL17RA,7.42E-01,4.83E-01,0.70342,-6.2162,0.07187,NM_014339.6,
TUBB,7.42E-01,4.84E-01,0.70294,-6.2165,0.07788,NM_178014.2,
PSMB9,7.42E-01,4.85E-01,0.70164,-6.2174,0.12731,NM_002800.4,
A2M,7.42E-01,4.85E-01,0.70096,-6.2179,0.12599,NM_000014.4,NA
APP,7.42E-01,4.85E-01,-0.70068,-6.2181,-0.1049,NM_000484.3,NA
CD6,7.42E-01,4.87E-01,0.69769,-6.2201,0.18806,NM_006725.3,
YTHDF2,7.42E-01,4.88E-01,0.69663,-6.2208,0.04944,NM_001172828.1,
ITGA2,7.42E-01,4.88E-01,0.69619,-6.2211,0.10727,NM_002203.2,
TNFSF8,7.42E-01,4.89E-01,0.69455,-6.2223,0.19631,NM_001244.3,
MRC1,7.42E-01,4.90E-01,0.6936,-6.2229,0.19744,NM_002438.2,
IL17RB,7.42E-01,4.91E-01,0.69098,-6.2247,0.28041,NM_018725.3,
PIK3CG,7.42E-01,4.91E-01,0.69082,-6.2248,0.19418,NM_002649.2,
GNLY,7.42E-01,4.91E-01,0.69073,-6.2249,0.17985,NM_006433.2,
SELPLG,7.44E-01,4.94E-01,0.68705,-6.2273,0.13719,NM_001206609.1,
TAP1,7.46E-01,4.96E-01,0.68295,-6.2301,0.10627,NM_000593.5,
ANXA1,7.46E-01,4.97E-01,0.68182,-6.2309,0.16353,NM_000700.1,NA
SERPINB2,7.48E-01,4.99E-01,0.67857,-6.233,0.23222,NM_002575.1,
STAT1,7.48E-01,5.00E-01,0.67627,-6.2345,0.12272,NM_007315.2,
SYK,7.48E-01,5.01E-01,0.67602,-6.2347,0.11008,NM_003177.3,
SLAMF1,7.48E-01,5.02E-01,0.67447,-6.2357,0.21169,NM_003037.2,
TBK1,7.48E-01,5.03E-01,-0.67224,-6.2372,-0.05749,NM_013254.2,
KLRC1,7.49E-01,5.05E-01,-0.6696,-6.239,-0.13616,NM_002259.3,
PPIA,7.49E-01,5.07E-01,-0.66632,-6.2411,-0.07576,NM_021130.2,
LGALS3,7.49E-01,5.07E-01,0.66624,-6.2412,0.09278,NM_001177388.1,
HCK,7.49E-01,5.07E-01,-0.66549,-6.2416,-0.09538,NM_002110.2,
TAL1,7.51E-01,5.10E-01,-0.66096,-6.2446,-0.15446,NM_003189.2,
PRPF38A,7.51E-01,5.11E-01,0.65997,-6.2452,0.04624,NM_032864.3,
STAT4,7.53E-01,5.13E-01,0.65637,-6.2476,0.15597,NM_003151.2,
FAS,7.56E-01,5.17E-01,-0.65089,-6.2511,-0.14717,NM_000043.3,
MAP4K2,7.56E-01,5.17E-01,0.65048,-6.2513,0.07072,NM_004579.2,
MS4A1,7.58E-01,5.19E-01,0.64688,-6.2536,0.34567,NM_152866.2,
BLK,7.62E-01,5.23E-01,0.64145,-6.2571,0.22548,NM_001715.2,NA
CLEC4A,7.62E-01,5.24E-01,0.63917,-6.2585,0.11084,NM_194448.2,
GATA3,7.62E-01,5.25E-01,-0.63789,-6.2593,-0.12128,NM_001002295.1,
HPRT1,7.67E-01,5.30E-01,-0.6303,-6.264,-0.07063,NM_000194.1,
CCL22,7.67E-01,5.30E-01,0.62973,-6.2644,0.13642,NM_002990.3,NA
TNFRSF9,7.68E-01,5.33E-01,0.62493,-6.2673,0.1302,NM_001561.4,
ITGA2B,7.68E-01,5.35E-01,0.62326,-6.2684,0.18278,NM_000419.3,
ARG1,7.68E-01,5.35E-01,0.62307,-6.2685,0.2326,NM_000045.2,NA
ICOS,7.68E-01,5.35E-01,0.62246,-6.2688,0.18489,NM_012092.2,
AMMECR1L,7.71E-01,5.38E-01,-0.61833,-6.2714,-0.0394,NM_001199140.1,
NEG_F,7.72E-01,5.40E-01,-0.61547,-6.2731,-0.13062,,ERCC_00126.1
CD28,7.72E-01,5.41E-01,0.61354,-6.2743,0.22239,NM_001243078.1,
PSEN2,7.72E-01,5.41E-01,0.6127,-6.2748,0.10724,NM_000447.2,
POLR2A,7.73E-01,5.43E-01,-0.61004,-6.2764,-0.04937,NM_000937.2,
LAIR2,7.77E-01,5.47E-01,-0.60412,-6.2799,-0.13487,NM_002288.3,
ICOSLG,7.79E-01,5.50E-01,0.60004,-6.2823,0.11562,NM_015259.4,
CTAG1B,7.79E-01,5.51E-01,0.59896,-6.2829,0.1608,NM_001327.2,
HLA-DRB3,7.83E-01,5.55E-01,-0.59178,-6.2871,-0.13024,NM_022555.3,
CCL2,7.83E-01,5.56E-01,-0.59149,-6.2873,-0.12113,NM_002982.3,NA
EPCAM,7.84E-01,5.57E-01,-0.58919,-6.2886,-0.1596,NM_002354.1,
CCL3,7.85E-01,5.59E-01,-0.58678,-6.29,-0.1395,NM_002983.2,NA
IRF8,7.86E-01,5.61E-01,0.58336,-6.292,0.14462,NM_002163.2,
TFRC,7.86E-01,5.62E-01,0.58157,-6.293,0.09742,NM_003234.1,
TNFSF12,7.86E-01,5.63E-01,0.58078,-6.2935,0.10673,NM_003809.2,
TNFRSF13B,7.88E-01,5.65E-01,0.57793,-6.2951,0.23748,NM_012452.2,
IL1RL2,7.94E-01,5.70E-01,0.56952,-6.2998,0.15134,NM_003854.2,
MARCO,8.00E-01,5.76E-01,0.56174,-6.3042,0.2035,NM_006770.3,
LRRN3,8.00E-01,5.77E-01,0.55956,-6.3054,0.11547,NM_001099660.1,
TTK,8.00E-01,5.77E-01,-0.55925,-6.3055,-0.07097,NM_003318.3,
LCN2,8.03E-01,5.81E-01,0.55379,-6.3085,0.1682,NM_005564.3,
C1QA,8.04E-01,5.83E-01,0.55146,-6.3098,0.13679,NM_015991.2,NA
CNOT4,8.05E-01,5.85E-01,0.54757,-6.3119,0.0502,NM_001190848.1,
TANK,8.05E-01,5.86E-01,-0.54654,-6.3124,-0.05387,NM_004180.2,
NOD1,8.05E-01,5.88E-01,-0.54378,-6.3139,-0.05779,NM_006092.1,
NCAM1,8.05E-01,5.90E-01,-0.5401,-6.3159,-0.1234,NM_000615.5,
IRF5,8.05E-01,5.91E-01,0.5398,-6.316,0.079,NM_002200.3,
RRAD,8.05E-01,5.91E-01,-0.5385,-6.3167,-0.20186,NM_004165.1,
TPTE,8.05E-01,5.92E-01,0.53705,-6.3175,0.15945,NM_199259.2,
CXCL11,8.05E-01,5.93E-01,0.53623,-6.3179,0.23171,NM_005409.4,
CTSL,8.05E-01,5.95E-01,0.53393,-6.3191,0.11296,NM_001912.4,
CCL24,8.05E-01,5.95E-01,-0.5326,-6.3198,-0.1513,NM_002991.2,NA
IRAK1,8.05E-01,5.96E-01,-0.53237,-6.3199,-0.05358,NM_001569.3,
CR2,8.05E-01,5.96E-01,0.53234,-6.32,0.15411,NM_001006658.1,
CD81,8.12E-01,6.02E-01,-0.52329,-6.3246,-0.04886,NM_004356.3,
PSMB10,8.19E-01,6.08E-01,-0.51505,-6.3289,-0.08207,NM_002801.2,
NUBP1,8.21E-01,6.13E-01,0.50768,-6.3326,0.072,NM_001278506.1,
CD34,8.21E-01,6.13E-01,0.50716,-6.3328,0.0962,NM_001025109.1,
NFKB2,8.21E-01,6.15E-01,-0.50519,-6.3338,-0.07513,NM_002502.2,
MAP2K1,8.21E-01,6.16E-01,0.50359,-6.3346,0.04418,NM_002755.2,
VEGFC,8.21E-01,6.16E-01,-0.50297,-6.3349,-0.14726,NM_005429.2,
CTSG,8.21E-01,6.17E-01,-0.50232,-6.3352,-0.16549,NM_001911.2,
CD40LG,8.21E-01,6.17E-01,0.5018,-6.3355,0.14457,NM_000074.2,
ATG12,8.22E-01,6.18E-01,0.49952,-6.3366,0.11354,NM_004707.2,NA
CSF2RB,8.32E-01,6.27E-01,0.48716,-6.3426,0.10557,NM_000395.2,
CD97,8.36E-01,6.33E-01,0.4792,-6.3464,0.072,NM_078481.2,
TAP2,8.36E-01,6.34E-01,0.47799,-6.3469,0.05842,NM_000544.3,
POU2AF1,8.36E-01,6.36E-01,0.47529,-6.3482,0.17265,NM_006235.2,
ST6GAL1,8.36E-01,6.36E-01,0.47446,-6.3486,0.11611,NM_003032.2,
CD47,8.36E-01,6.36E-01,0.47431,-6.3487,0.06143,NM_001777.3,
DEFB1,8.36E-01,6.42E-01,-0.46672,-6.3522,-0.09522,NM_005218.3,
C1R,8.36E-01,6.43E-01,-0.46463,-6.3531,-0.07335,NM_001733.4,NA
TAB1,8.36E-01,6.43E-01,-0.46435,-6.3533,-0.045,NM_153497.2,
TNFRSF11B,8.36E-01,6.43E-01,0.46432,-6.3533,0.12783,NM_002546.2,
TNFRSF13C,8.36E-01,6.45E-01,-0.46177,-6.3544,-0.14705,NM_052945.3,
IL1RAPL2,8.36E-01,6.46E-01,0.46093,-6.3548,0.10735,NM_017416.1,
TMUB2,8.36E-01,6.47E-01,-0.45927,-6.3556,-0.03136,NM_024107.2,
LTB,8.36E-01,6.47E-01,-0.45883,-6.3558,-0.13343,NM_002341.1,
SPN,8.36E-01,6.49E-01,0.45599,-6.357,0.13145,NM_003123.3,
PRKCE,8.36E-01,6.50E-01,0.45519,-6.3574,0.07065,NM_005400.2,
CXCR1,8.36E-01,6.51E-01,0.45433,-6.3578,0.09269,NM_000634.2,
CSF2,8.36E-01,6.51E-01,-0.45416,-6.3579,-0.18654,NM_000758.2,
ISG15,8.36E-01,6.52E-01,-0.45258,-6.3586,-0.13084,NM_005101.3,
IL1RL1,8.36E-01,6.52E-01,0.45229,-6.3587,0.13385,NM_016232.4,
RIPK2,8.36E-01,6.53E-01,0.45042,-6.3595,0.06523,NM_003821.5,
