ID,adj.P.Val,P.Value,t,B,logFC,Gene,Gene.title
219253_at,0.094042,4.89E-03,2.9735172,-2.19862,3.95E-01,TMEM185B,transmembrane protein 185B
202319_at,0.094054,4.89E-03,2.9733401,-2.19904,5.47E-01,SENP6,SUMO1/sentrin specific peptidase 6
217824_at,0.094092,4.89E-03,-2.9729246,-2.20002,-5.08E-01,UBE2J1,ubiquitin conjugating enzyme E2 J1
221842_s_at,0.094092,4.89E-03,2.9729119,-2.20005,4.52E-01,LOC100506639///ZNF131,uncharacterized LOC100506639///zinc finger protein 131
204805_s_at,0.094092,4.90E-03,2.9727965,-2.20032,4.37E-01,H1FX,H1 histone family member X
38521_at,0.094159,4.90E-03,-2.9721276,-2.20189,-4.44E-01,CD22,CD22 molecule
243283_at,0.094159,4.91E-03,2.9720706,-2.20202,5.70E-01,CROT,carnitine O-octanoyltransferase
218443_s_at,0.094159,4.91E-03,2.9720104,-2.20216,3.32E-01,DAZAP1,DAZ associated protein 1
200754_x_at,0.094159,4.91E-03,2.972005,-2.20218,3.49E-01,MIR636///SRSF2,microRNA 636///serine and arginine rich splicing factor 2
232336_at,0.094268,4.91E-03,-2.9714083,-2.20358,-1.79E-01,ZSWIM5,zinc finger SWIM-type containing 5
1561419_at,0.094268,4.92E-03,-2.9711881,-2.2041,-2.05E-01,LOC101927051,uncharacterized LOC101927051
204487_s_at,0.094268,4.92E-03,-2.9710646,-2.20439,-2.67E-01,KCNQ1,potassium voltage-gated channel subfamily Q member 1
224240_s_at,0.094268,4.92E-03,-2.9708574,-2.20487,-2.83E-01,CCL28,C-C motif chemokine ligand 28
219177_at,0.094268,4.92E-03,2.9707977,-2.20501,5.87E-01,BRIX1,"BRX1, biogenesis of ribosomes"
1566851_at,0.094268,4.92E-03,-2.9707881,-2.20504,-2.24E-01,TRIM42,tripartite motif containing 42
214427_at,0.094388,4.93E-03,2.9701797,-2.20647,4.56E-01,NOP2,NOP2 nucleolar protein
202417_at,0.094402,4.93E-03,2.9699948,-2.2069,2.80E-01,KEAP1,kelch like ECH associated protein 1
240903_at,0.094419,4.94E-03,2.9697956,-2.20737,4.67E-01,,
200676_s_at,0.094743,4.95E-03,2.9683871,-2.21068,4.08E-01,UBE2L3,ubiquitin conjugating enzyme E2 L3
1562922_at,0.094857,4.96E-03,-2.9677442,-2.21219,-1.70E-01,LOC101929133,uncharacterized LOC101929133
213924_at,0.094857,4.96E-03,-2.9676734,-2.21235,-7.22E-01,GNAL,G protein subunit alpha L
204493_at,0.094885,4.97E-03,2.9674347,-2.21291,4.65E-01,BID,BH3 interacting domain death agonist
221373_x_at,0.094915,4.97E-03,-2.9671832,-2.2135,-1.93E-01,PSPN,persephin
234288_at,0.095032,4.98E-03,-2.966593,-2.21489,-1.58E-01,LOC101929628,uncharacterized LOC101929628
201930_at,0.095035,4.98E-03,2.9664497,-2.21523,7.08E-01,MCM6,minichromosome maintenance complex component 6
1568930_at,0.095079,4.98E-03,-2.966147,-2.21594,-1.71E-01,EFCAB1,EF-hand calcium binding domain 1
226053_at,0.095149,4.99E-03,2.9656617,-2.21707,1.93E-01,MAP2K7,mitogen-activated protein kinase kinase 7
217418_x_at,0.095149,4.99E-03,-2.965359,-2.21779,-1.02,MS4A1,membrane spanning 4-domains A1
233422_at,0.095149,5.00E-03,2.9651869,-2.21819,2.18E-01,,
1554489_a_at,0.095149,5.00E-03,2.9651298,-2.21832,2.46E-01,CEP70,centrosomal protein 70
225933_at,0.095149,5.00E-03,2.9650727,-2.21846,3.50E-01,CCDC137,coiled-coil domain containing 137
210285_x_at,0.095149,5.00E-03,2.9649936,-2.21864,4.48E-01,WTAP,Wilms tumor 1 associated protein
207891_s_at,0.095149,5.00E-03,2.9649593,-2.21872,2.94E-01,HAUS7///TREX2,HAUS augmin like complex subunit 7///three prime repair exonuclease 2
224653_at,0.095198,5.00E-03,-2.9646384,-2.21948,-2.29E-01,EIF4EBP2,eukaryotic translation initiation factor 4E binding protein 2
219536_s_at,0.095244,5.01E-03,2.9643273,-2.22021,2.92E-01,ZFP64,ZFP64 zinc finger protein
203108_at,0.095325,5.02E-03,-2.9637752,-2.2215,-7.75E-01,GPRC5A,G protein-coupled receptor class C group 5 member A
221732_at,0.095325,5.02E-03,2.9637514,-2.22156,3.34E-01,CANT1,calcium activated nucleotidase 1
213404_s_at,0.095374,5.02E-03,2.9634283,-2.22232,4.79E-01,RHEB,Ras homolog enriched in brain
212247_at,0.095434,5.03E-03,2.9628903,-2.22358,5.11E-01,NUP205,nucleoporin 205
204037_at,0.095434,5.03E-03,-2.9627198,-2.22398,-5.86E-01,LPAR1,lysophosphatidic acid receptor 1
225292_at,0.095434,5.03E-03,2.9625992,-2.22426,3.35E-01,COL27A1,collagen type XXVII alpha 1 chain
243968_x_at,0.095434,5.03E-03,-2.9625724,-2.22432,-8.86E-01,FCRL1,Fc receptor like 1
207233_s_at,0.095434,5.03E-03,-2.9625098,-2.22447,-3.91E-01,MITF,melanogenesis associated transcription factor
1554480_a_at,0.095434,5.04E-03,2.9623011,-2.22496,4.17E-01,ARMC10,armadillo repeat containing 10
244233_at,0.095434,5.04E-03,2.9622841,-2.225,1.62E-01,TPGS2,tubulin polyglutamylase complex subunit 2
226600_at,0.095523,5.04E-03,2.9618055,-2.22612,8.72E-01,TMTC3,transmembrane and tetratricopeptide repeat containing 3
232349_x_at,0.095556,5.05E-03,2.9615472,-2.22673,2.86E-01,DCAF6,DDB1 and CUL4 associated factor 6
222681_at,0.095629,5.05E-03,2.9608642,-2.22833,7.69E-01,POGLUT1,protein O-glucosyltransferase 1
212037_at,0.095629,5.06E-03,2.9607461,-2.22861,5.16E-01,PNN,"pinin, desmosome associated protein"
207550_at,0.095629,5.06E-03,-2.9607426,-2.22861,-2.41E-01,MPL,"MPL proto-oncogene, thrombopoietin receptor"
201115_at,0.095629,5.06E-03,2.9607412,-2.22862,4.94E-01,POLD2,"DAN polymerase delta 2, accessory subunit"
201827_at,0.095877,5.07E-03,2.9596447,-2.23119,3.22E-01,SMARCD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
205250_s_at,0.095988,5.08E-03,2.9590593,-2.23256,5.58E-01,CEP290,centrosomal protein 290
214949_at,0.095988,5.08E-03,2.9589533,-2.23281,6.39E-01,,
213935_at,0.096064,5.09E-03,-2.958528,-2.23381,-3.08E-01,ABHD5,abhydrolase domain containing 5
1558103_a_at,0.096077,5.09E-03,2.9583472,-2.23423,5.14E-01,HDGFRP3,"hepatoma-derived growth factor, related protein 3"
222039_at,0.096176,5.10E-03,2.9578311,-2.23544,7.32E-01,KIF18B,kinesin family member 18B
202182_at,0.096191,5.10E-03,2.957643,-2.23588,3.54E-01,KAT2A,lysine acetyltransferase 2A
226364_at,0.096211,5.10E-03,2.9572872,-2.23671,5.57E-01,HIP1,huntingtin interacting protein 1
218391_at,0.096211,5.10E-03,2.9572499,-2.2368,3.32E-01,SNF8,"SNF8, ESCRT-II complex subunit"
241932_at,0.096211,5.11E-03,-2.9570794,-2.2372,-2.45E-01,,
208956_x_at,0.096211,5.11E-03,2.9569039,-2.23761,4.13E-01,DUT,deoxyuridine triphosphatase
226033_at,0.096211,5.11E-03,2.9567636,-2.23794,5.94E-01,USP31,ubiquitin specific peptidase 31
36499_at,0.096211,5.11E-03,2.9566606,-2.23818,3.06E-01,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2
212427_at,0.096211,5.11E-03,2.9565843,-2.23836,6.89E-01,KIAA0368,KIAA0368
219866_at,0.096211,5.11E-03,-2.9564935,-2.23857,-3.19E-01,CLIC5,chloride intracellular channel 5
243643_x_at,0.096211,5.12E-03,2.9564043,-2.23878,3.47E-01,SLC30A6,solute carrier family 30 member 6
201590_x_at,0.096238,5.12E-03,-2.9561384,-2.2394,-4.77E-01,ANXA2,annexin A2
204276_at,0.096238,5.12E-03,-2.9557608,-2.24029,-3.78E-01,TK2,"thymidine kinase 2, mitochondrial"
223942_x_at,0.096238,5.13E-03,-2.9556476,-2.24055,-1.29E-01,CHST5,carbohydrate sulfotransferase 5
239234_at,0.096238,5.13E-03,2.9555753,-2.24072,3.92E-01,,
1558815_at,0.096238,5.13E-03,-2.9555435,-2.2408,-5.34E-01,SORBS2,sorbin and SH3 domain containing 2
218567_x_at,0.096238,5.13E-03,2.9553513,-2.24125,3.33E-01,DPP3,dipeptidyl peptidase 3
227459_at,0.096238,5.13E-03,2.9553505,-2.24125,3.63E-01,,
213330_s_at,0.096238,5.13E-03,2.9550982,-2.24184,2.41E-01,STIP1,stress induced phosphoprotein 1
219710_at,0.096238,5.13E-03,-2.9550978,-2.24184,-2.00E-01,SH3TC2,SH3 domain and tetratricopeptide repeats 2
224443_at,0.096238,5.14E-03,-2.954902,-2.2423,-3.95E-01,LINC00467,long intergenic non-protein coding RNA 467
1557322_at,0.096238,5.14E-03,2.9548872,-2.24233,2.99E-01,ZNF230,zinc finger protein 230
222810_s_at,0.096253,5.14E-03,-2.9546984,-2.24278,-3.51E-01,RASAL2,RAS protein activator like 2
219396_s_at,0.096291,5.14E-03,-2.9543596,-2.24357,-3.39E-01,MIR631///NEIL1,microRNA 631///nei like DNA glycosylase 1
201773_at,0.096291,5.14E-03,2.954296,-2.24372,3.98E-01,ADNP,activity dependent neuroprotector homeobox
243740_at,0.096444,5.16E-03,2.9533976,-2.24582,4.31E-01,,
1563945_at,0.096444,5.16E-03,-2.9532899,-2.24607,-1.55E-01,YWHAEP7,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7
204788_s_at,0.096444,5.16E-03,-2.9532643,-2.24613,-6.57E-01,PPOX,protoporphyrinogen oxidase
241129_at,0.096444,5.16E-03,-2.9531889,-2.24631,-1.54E-01,,
1566653_at,0.096462,5.16E-03,-2.9529894,-2.24678,-1.94E-01,,
1562921_at,0.096563,5.17E-03,-2.9524681,-2.248,-1.19,EP300-AS1,EP300 antisense RNA 1
229139_at,0.096747,5.18E-03,2.951627,-2.24997,6.87E-01,JPH1,junctophilin 1
206028_s_at,0.096856,5.19E-03,2.9510772,-2.25125,6.95E-01,MERTK,"MER proto-oncogene, tyrosine kinase"
202806_at,0.096916,5.19E-03,2.9507177,-2.25209,3.82E-01,DBN1,drebrin 1
243956_at,0.096948,5.20E-03,-2.950434,-2.25276,-1.97E-01,SUSD3,sushi domain containing 3
225150_s_at,0.096948,5.20E-03,2.9503394,-2.25298,5.39E-01,RTKN,rhotekin
210164_at,0.097039,5.21E-03,2.949667,-2.25455,1.03,GZMB,granzyme B
1552892_at,0.097039,5.21E-03,-2.9495528,-2.25482,-2.06E-01,TNFRSF13C,TNF receptor superfamily member 13C
212603_at,0.097039,5.21E-03,-2.9494885,-2.25497,-4.31E-01,MRPS31,mitochondrial ribosomal protein S31
224765_at,0.097039,5.21E-03,2.9493801,-2.25522,4.04E-01,MSL1,male specific lethal 1 homolog
208955_at,0.097039,5.22E-03,2.9491424,-2.25578,6.33E-01,DUT,deoxyuridine triphosphatase
1564400_at,0.097039,5.22E-03,-2.9491131,-2.25585,-1.65E-01,SMIM21,small integral membrane protein 21
230688_at,0.097039,5.22E-03,2.9490911,-2.2559,5.87E-01,,
220361_at,0.097109,5.22E-03,-2.9486954,-2.25682,-5.82E-01,IQCH,IQ motif containing H
230769_at,0.097207,5.23E-03,-2.9481886,-2.25801,-7.32E-01,DENND2C,DENN domain containing 2C
227892_at,0.097222,5.23E-03,-2.9480026,-2.25844,-6.13E-01,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2
212034_s_at,0.097226,5.23E-03,2.9478603,-2.25878,2.98E-01,EXOC7,exocyst complex component 7
235603_at,0.097385,5.24E-03,2.947032,-2.26071,5.23E-01,HNRNPU,heterogeneous nuclear ribonucleoprotein U
209395_at,0.097385,5.25E-03,2.9466507,-2.26161,1.35,CHI3L1,chitinase 3 like 1
218875_s_at,0.097385,5.25E-03,2.9466086,-2.2617,6.85E-01,FBXO5,F-box protein 5
230231_at,0.097385,5.25E-03,-2.9465673,-2.2618,-3.90E-01,FGF14,fibroblast growth factor 14
208791_at,0.097385,5.25E-03,-2.9463627,-2.26228,-1.53,CLU,clusterin
209103_s_at,0.097385,5.25E-03,2.9463267,-2.26236,3.50E-01,UFD1L,ubiquitin fusion degradation 1 like (yeast)
224997_x_at,0.097385,5.25E-03,-2.9463179,-2.26238,-7.72E-01,MIR675///H19,"microRNA 675///H19, imprinted maternally expressed transcript (non-protein coding)"
225296_at,0.097385,5.26E-03,2.9462301,-2.26259,2.89E-01,ZNF317,zinc finger protein 317
233656_s_at,0.097462,5.26E-03,2.9457418,-2.26373,4.57E-01,VPS54,"VPS54, GARP complex subunit"
209317_at,0.097462,5.26E-03,2.9456781,-2.26388,3.90E-01,POLR1C,RNA polymerase I subunit C
244741_s_at,0.097553,5.27E-03,-2.9452034,-2.26499,-5.37E-01,ZNF667-AS1,ZNF667 antisense RNA 1 (head to head)
227108_at,0.097566,5.27E-03,-2.9450258,-2.2654,-4.39E-01,STARD9,StAR related lipid transfer domain containing 9
238788_at,0.097648,5.28E-03,2.9445836,-2.26644,4.29E-01,PHBP19,prohibitin pseudogene 19
202419_at,0.097771,5.29E-03,2.9439839,-2.26784,3.88E-01,KDSR,3-ketodihydrosphingosine reductase
215170_s_at,0.097788,5.29E-03,2.9437855,-2.2683,3.50E-01,CEP152,centrosomal protein 152
205626_s_at,0.097788,5.29E-03,2.9436651,-2.26858,1.63,CALB1,calbindin 1
224587_at,0.097887,5.30E-03,2.9429978,-2.27014,6.95E-01,SUB1,"SUB1 homolog, transcriptional regulator"
200862_at,0.097887,5.30E-03,-2.9429177,-2.27033,-9.34E-01,DHCR24,24-dehydrocholesterol reductase
205047_s_at,0.097887,5.30E-03,2.9429044,-2.27036,7.10E-01,ASNS,asparagine synthetase (glutamine-hydrolyzing)
242273_at,0.098021,5.31E-03,2.9422637,-2.27186,6.95E-01,LLPH,"LLP homolog, long-term synaptic facilitation"
209723_at,0.098181,5.32E-03,-2.941457,-2.27374,-7.22E-01,SERPINB9,serpin family B member 9
210871_x_at,0.098181,5.32E-03,2.9414008,-2.27387,5.95E-01,SSX2IP,SSX family member 2 interacting protein
210399_x_at,0.0982,5.33E-03,-2.9409374,-2.27495,-2.83E-01,FUT6,fucosyltransferase 6
202404_s_at,0.0982,5.33E-03,2.9409072,-2.27502,1.27,COL1A2,collagen type I alpha 2 chain
222666_s_at,0.0982,5.33E-03,2.940847,-2.27516,6.26E-01,RCL1,RNA terminal phosphate cyclase like 1
228729_at,0.0982,5.33E-03,2.9407968,-2.27528,1.11,CCNB1,cyclin B1
1563209_a_at,0.0982,5.33E-03,-2.940694,-2.27552,-3.97E-01,MACROD2,MACRO domain containing 2
201929_s_at,0.098263,5.34E-03,2.9403259,-2.27638,4.99E-01,PKP4,plakophilin 4
224721_at,0.098303,5.34E-03,2.9400305,-2.27707,3.96E-01,WDR75,WD repeat domain 75
233251_at,0.098303,5.35E-03,-2.9399205,-2.27733,-6.69E-01,STRBP,spermatid perinuclear RNA binding protein
222840_at,0.098321,5.35E-03,-2.9397275,-2.27778,-2.02E-01,ATG2B,autophagy related 2B
209202_s_at,0.098412,5.36E-03,2.9391131,-2.27921,1.65E-01,EXTL3,exostosin like glycosyltransferase 3
200865_at,0.098412,5.36E-03,-2.9390945,-2.27925,-2.06E-01,EIF3F,eukaryotic translation initiation factor 3 subunit F
212058_at,0.098412,5.36E-03,2.9390003,-2.27947,5.12E-01,U2SURP,U2 snRNP associated SURP domain containing
220426_at,0.098436,5.36E-03,-2.9387448,-2.28007,-3.92E-01,FNDC11,fibronectin type III domain containing 11
211597_s_at,0.098436,5.36E-03,-2.9385982,-2.28041,-1.19,HOPX,HOP homeobox
203918_at,0.098436,5.37E-03,-2.9384763,-2.2807,-3.16E-01,PCDH1,protocadherin 1
222037_at,0.098436,5.37E-03,2.9382977,-2.28111,6.57E-01,MCM4,minichromosome maintenance complex component 4
224374_s_at,0.098436,5.37E-03,2.9382773,-2.28116,4.35E-01,EMILIN2,elastin microfibril interfacer 2
228825_at,0.09845,5.37E-03,-2.9378587,-2.28214,-2.81E-01,PTGR1,prostaglandin reductase 1
233364_s_at,0.09845,5.38E-03,-2.9377733,-2.28234,-7.79E-01,,
214399_s_at,0.09845,5.38E-03,-2.9376527,-2.28262,-7.16E-01,KRT4,keratin 4
206076_at,0.09845,5.38E-03,-2.9375867,-2.28277,-6.76E-01,LRRC23,leucine rich repeat containing 23
1554852_a_at,0.09845,5.38E-03,-2.9374997,-2.28298,-2.01E-01,KIAA1257,KIAA1257
221796_at,0.09845,5.38E-03,2.9373183,-2.2834,1.26,NTRK2,neurotrophic receptor tyrosine kinase 2
1553395_a_at,0.09845,5.38E-03,-2.9371546,-2.28378,-3.89E-01,CD200R1,CD200 receptor 1
244876_at,0.09845,5.39E-03,-2.937139,-2.28382,-3.63E-01,,
238018_at,0.09845,5.39E-03,2.9370079,-2.28412,7.92E-01,FAM150B,family with sequence similarity 150 member B
232423_at,0.09845,5.39E-03,-2.9369488,-2.28426,-2.46E-01,ARSD,arylsulfatase D
220943_s_at,0.09845,5.39E-03,2.9368414,-2.28451,3.47E-01,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7
222425_s_at,0.098562,5.40E-03,2.9362667,-2.28585,1.94E-01,POLDIP2,DNA polymerase delta interacting protein 2
226694_at,0.098562,5.40E-03,-2.9361276,-2.28618,-6.42E-01,PALM2-AKAP2///AKAP2,PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
231614_at,0.098562,5.40E-03,-2.9359801,-2.28652,-1.16E-01,NOVA1,NOVA alternative splicing regulator 1
202756_s_at,0.098562,5.40E-03,2.9358562,-2.28681,5.71E-01,GPC1,glypican 1
200929_at,0.098562,5.40E-03,-2.9357666,-2.28702,-3.96E-01,TMED10,transmembrane p24 trafficking protein 10
224689_at,0.098562,5.41E-03,2.9356618,-2.28726,3.13E-01,MANBAL,mannosidase beta like
225665_at,0.098567,5.41E-03,2.9355194,-2.28759,6.97E-01,ZAK,sterile alpha motif and leucine zipper containing kinase AZK
218132_s_at,0.098567,5.41E-03,2.9353932,-2.28789,3.34E-01,TSEN34,tRNA splicing endonuclease subunit 34
214085_x_at,0.09875,5.42E-03,-2.9345681,-2.28981,-5.68E-01,GLIPR1,GLI pathogenesis related 1
224817_at,0.098786,5.43E-03,2.9343072,-2.29042,6.70E-01,SH3PXD2A,SH3 and PX domains 2A
244481_at,0.098798,5.43E-03,-2.9341366,-2.29082,-2.57E-01,,
202628_s_at,0.098798,5.43E-03,2.9340119,-2.29111,5.03E-01,SERPINE1,serpin family E member 1
1560284_at,0.098864,5.44E-03,-2.9334091,-2.29251,-1.77E-01,,
225196_s_at,0.098864,5.44E-03,2.9333513,-2.29265,3.93E-01,MRPS26,mitochondrial ribosomal protein S26
207821_s_at,0.098864,5.44E-03,2.9332813,-2.29281,4.35E-01,PTK2,protein tyrosine kinase 2
240930_at,0.098864,5.44E-03,-2.9331075,-2.29322,-1.42E-01,CRAMP1,cramped chromatin regulator homolog 1
235945_at,0.098864,5.44E-03,-2.9330912,-2.29326,-6.31E-01,,
203235_at,0.098864,5.45E-03,2.9329723,-2.29353,3.48E-01,THOP1,thimet oligopeptidase 1
227817_at,0.098864,5.45E-03,-2.9328873,-2.29373,-5.68E-01,PRKCB,protein kinase C beta
213308_at,0.098888,5.45E-03,-2.932671,-2.29423,-6.41E-01,SHANK2,SH3 and multiple ankyrin repeat domains 2
1553057_at,0.098893,5.45E-03,-2.9324334,-2.29479,-2.13E-01,SERPINB12,serpin family B member 12
205579_at,0.098893,5.45E-03,-2.9323011,-2.2951,-3.25E-01,HRH1,histamine receptor H1
1552538_a_at,0.098893,5.46E-03,-2.9322768,-2.29515,-4.79E-01,KIF6,kinesin family member 6
236395_at,0.098908,5.46E-03,-2.9318698,-2.2961,-8.25E-01,,
212530_at,0.098908,5.46E-03,-2.931849,-2.29615,-3.95E-01,NEK7,NIMA related kinase 7
226922_at,0.098908,5.46E-03,2.9318466,-2.29616,4.35E-01,RANBP2,RAN binding protein 2
227963_at,0.098927,5.46E-03,2.9316195,-2.29669,6.33E-01,,
213634_s_at,0.098927,5.47E-03,2.9315249,-2.29691,2.23E-01,TRMU,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase
214769_at,0.09894,5.47E-03,-2.9313524,-2.29731,-5.57E-01,CLCN4,chloride voltage-gated channel 4
205987_at,0.099029,5.48E-03,-2.9308866,-2.29839,-7.24E-01,CD1C,CD1c molecule
227328_at,0.099032,5.48E-03,2.9307531,-2.2987,4.79E-01,CAMTA1,calmodulin binding transcription activator 1
212064_x_at,0.099077,5.48E-03,2.9303887,-2.29955,2.31E-01,MAZ,MYC associated zinc finger protein
231843_at,0.099077,5.48E-03,2.930284,-2.2998,4.14E-01,DDX55,DEAD-box helicase 55
207029_at,0.099077,5.49E-03,2.9300898,-2.30025,2.17E-01,KITLG,KIT ligand
238014_at,0.099077,5.49E-03,2.9300845,-2.30026,1.84E-01,NEMP2,nuclear envelope integral membrane protein 2
227722_at,0.099093,5.49E-03,2.9298993,-2.30069,4.02E-01,RPS23,ribosomal protein S23
204884_s_at,0.099159,5.50E-03,2.9294342,-2.30178,1.22E-01,HUS1,HUS1 checkpoint clamp component
1554023_s_at,0.099159,5.50E-03,-2.929302,-2.30208,-2.81E-01,CCDC13,coiled-coil domain containing 13
217894_at,0.099159,5.50E-03,2.9292268,-2.30226,7.22E-01,KCTD3,potassium channel tetramerization domain containing 3
205233_s_at,0.099159,5.50E-03,-2.929152,-2.30243,-2.04E-01,PAFAH2,platelet activating factor acetylhydrolase 2
211501_s_at,0.099175,5.50E-03,2.9288772,-2.30307,5.23E-01,EIF3B,eukaryotic translation initiation factor 3 subunit B
214626_s_at,0.099175,5.51E-03,2.9288427,-2.30315,2.87E-01,GANAB,glucosidase II alpha subunit
204757_s_at,0.099274,5.51E-03,-2.9283448,-2.30431,-2.24E-01,C2CD2L,C2CD2 like
226947_at,0.099279,5.51E-03,2.9282023,-2.30464,5.11E-01,GUSBP1///GUSBP4,"glucuronidase, beta pseudogene 1///glucuronidase, beta pseudogene 4"
227052_at,0.099289,5.52E-03,-2.9280417,-2.30502,-6.87E-01,SMIM14,small integral membrane protein 14
226671_at,0.099344,5.52E-03,2.9277076,-2.3058,6.47E-01,LAMP2,lysosomal associated membrane protein 2
210427_x_at,0.099539,5.53E-03,-2.9268445,-2.30781,-4.74E-01,ANXA2,annexin A2
239138_at,0.099539,5.54E-03,2.9267205,-2.30809,6.00E-01,NAA50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit"
202241_at,0.09965,5.54E-03,2.9261796,-2.30935,5.29E-01,TRIB1,tribbles pseudokinase 1
235834_at,0.099782,5.55E-03,2.9255578,-2.3108,3.84E-01,CALD1,caldesmon 1
226790_at,0.099847,5.56E-03,-2.925128,-2.3118,-1.05,MORN2,MORN repeat containing 2
231406_at,0.099847,5.56E-03,-2.9250634,-2.31195,-4.50E-01,ORAI2,ORAI calcium release-activated calcium modulator 2
200904_at,0.099849,5.56E-03,-2.9249352,-2.31225,-6.01E-01,HLA-E,"major histocompatibility complex, class I, E"
242904_x_at,0.099881,5.57E-03,-2.9246003,-2.31303,-7.51E-01,,
214756_x_at,0.099881,5.57E-03,2.9245675,-2.3131,2.39E-01,PMS2P1,"PMS1 homolog 2, mismatch repair system component pseudogene 1"
217914_at,0.099893,5.57E-03,-2.9243974,-2.3135,-3.26E-01,TPCN1,two pore segment channel 1
224893_at,0.100001,5.58E-03,-2.9238684,-2.31473,-4.80E-01,ATL3,atlastin GTPase 3
214695_at,0.100039,5.58E-03,2.9235987,-2.31536,2.43E-01,UBAP2L,ubiquitin associated protein 2 like
204363_at,0.100039,5.58E-03,-2.9234751,-2.31564,-1.36,F3,"coagulation factor III, tissue factor"
209396_s_at,0.100054,5.59E-03,2.923296,-2.31606,9.34E-01,CHI3L1,chitinase 3 like 1
238078_at,0.100075,5.59E-03,2.9230951,-2.31653,4.20E-01,SEC22A,"SEC22 homolog A, vesicle trafficking protein"
232198_at,0.100309,5.60E-03,2.9220904,-2.31887,3.51E-01,,
235039_x_at,0.100548,5.62E-03,2.9210649,-2.32125,4.14E-01,LIN9,lin-9 DREAM MuvB core complex component
216711_s_at,0.100548,5.62E-03,-2.9209473,-2.32152,-1.71E-01,TAF1,TATA-box binding protein associated factor 1
232224_at,0.100572,5.63E-03,-2.9207362,-2.32201,-2.31E-01,MASP1,mannan binding lectin serine peptidase 1
1562051_at,0.100585,5.63E-03,-2.9205431,-2.32246,-1.88E-01,LOC729296///MIR646HG,uncharacterized LOC729296///MIR646 host gene
226550_at,0.100585,5.63E-03,2.9204406,-2.3227,6.77E-01,SLC9A7,solute carrier family 9 member A7
232816_s_at,0.100859,5.65E-03,2.9192907,-2.32537,2.71E-01,DDX11,DEAD/H-box helicase 11
214039_s_at,0.100871,5.65E-03,2.9190229,-2.326,7.86E-01,LAPTM4B,lysosomal protein transmembrane 4 beta
201535_at,0.100871,5.65E-03,-2.9190007,-2.32605,-4.44E-01,UBL3,ubiquitin like 3
202018_s_at,0.100891,5.65E-03,-2.9188024,-2.32651,-2.01,LTF,lactotransferrin
222175_s_at,0.10092,5.66E-03,2.9185727,-2.32704,3.70E-01,MED15,mediator complex subunit 15
219249_s_at,0.100999,5.66E-03,-2.918155,-2.32801,-1.48E-01,FKBP10,FK506 binding protein 10
216606_x_at,0.101031,5.67E-03,-2.9179129,-2.32857,-1.80E-01,LYPLA2,lysophospholipase II
222435_s_at,0.101062,5.67E-03,-2.9176748,-2.32913,-4.91E-01,UBE2J1,ubiquitin conjugating enzyme E2 J1
229628_s_at,0.101066,5.67E-03,-2.9175376,-2.32945,-6.53E-01,CCDC180///LOC100499484-C9ORF174,coiled-coil domain containing 180///LOC100499484-C9orf174 readthrough
224995_at,0.101194,5.68E-03,2.9169364,-2.33084,6.38E-01,SPIRE1,spire type actin nucleation factor 1
218486_at,0.101275,5.69E-03,2.91651,-2.33183,5.81E-01,KLF11,Kruppel like factor 11
239364_at,0.101279,5.69E-03,2.9163449,-2.33222,7.52E-01,ETV6,ETS variant 6
210571_s_at,0.101279,5.69E-03,-2.9161368,-2.3327,-5.36E-01,CMAHP,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"
232213_at,0.101279,5.69E-03,2.9161291,-2.33272,3.17E-01,PELI1,pellino E3 ubiquitin protein ligase 1
230701_x_at,0.1014,5.70E-03,-2.9155165,-2.33414,-2.08E-01,KIF9,kinesin family member 9
222632_s_at,0.1014,5.70E-03,-2.9154343,-2.33433,-6.03E-01,LZTFL1,leucine zipper transcription factor like 1
225967_s_at,0.101412,5.71E-03,2.9152641,-2.33473,5.20E-01,C17orf89,chromosome 17 open reading frame 89
225602_at,0.101426,5.71E-03,-2.915011,-2.33531,-5.26E-01,GLIPR2,GLI pathogenesis related 2
225385_s_at,0.101426,5.71E-03,2.9149531,-2.33545,6.17E-01,HNRNPLL,heterogeneous nuclear ribonucleoprotein L like
233401_at,0.101426,5.71E-03,2.9148477,-2.33569,5.87E-01,,
228214_at,0.101583,5.72E-03,2.9141392,-2.33734,8.71E-01,SOX6,SRY-box 6
219081_at,0.101593,5.73E-03,-2.9139824,-2.3377,-2.36E-01,ANKHD1-EIF4EBP3///ANKHD1,ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1
1556754_at,0.101662,5.73E-03,-2.9136011,-2.33859,-1.61E-01,LINC00856,long intergenic non-protein coding RNA 856
1560405_at,0.101699,5.74E-03,-2.91314,-2.33966,-1.39E-01,LOC101928632,uncharacterized LOC101928632
